7738_4#30	SAMEA1324581	GCF_001194705.1
7907_7#74	SAMEA1463485	GCF_001194725.1
9266_1#14	SAMEA1710081	GCF_001194825.1
7748_4#52	SAMEA1324671	GCF_001194885.1
7907_4#66	SAMEA1466511	GCF_001194965.1
7738_4#2	SAMEA1324772	GCF_001195025.1
7907_4#5	SAMEA1466484	GCF_001195085.1
7907_7#60	SAMEA1463435	GCF_001195105.1
7907_7#57	SAMEA1463416	GCF_001195205.1
7738_3#10	SAMEA1324743	GCF_001195305.1
7738_3#17	SAMEA1324537	GCF_001195345.1
7738_4#9	SAMEA1324617	GCF_001195485.1
7738_4#28	SAMEA1324615	GCF_001195585.1
7738_4#8	SAMEA1324596	GCF_001195605.1
9266_1#15	SAMEA1710082	GCF_001195805.1
7738_4#54	SAMEA1324654	GCF_001195925.1
7738_4#53	SAMEA1324650	GCF_001195945.1
7907_4#42	SAMEA1466494	GCF_001196025.1
7907_4#65	SAMEA1466518	GCF_001196145.1
7748_4#63	SAMEA1324738	GCF_001196165.1
7748_4#40	SAMEA1324665	GCF_001196275.1
7738_3#55	SAMEA1324680	GCF_001196415.1
9266_1#9	SAMEA1710115	GCF_001196435.1
7738_3#95	SAMEA1324676	GCF_001196515.1
9061_8#76	SAMEA1708703	GCF_001196555.1
7907_7#44	SAMEA1463332	GCF_001196615.1
7907_7#72	SAMEA1463309	GCF_001196655.1
7738_3#29	SAMEA1324759	GCF_001196675.1
7907_7#59	SAMEA1463440	GCF_001196795.1
7738_3#81	SAMEA1324661	GCF_001196815.1
7738_3#37	SAMEA1324618	GCF_001196895.1
7748_4#86	SAMEA1324513	GCF_001197175.1
7748_4#79	SAMEA1324703	GCF_001197375.1
9061_8#83	SAMEA1708834	GCF_001197515.1
7748_4#60	SAMEA1324522	GCF_001197595.1
7907_7#69	SAMEA1463428	GCF_001197715.1
7738_3#68	SAMEA1324577	GCF_001197735.1
7907_7#24	SAMEA1463480	GCF_001197935.1
7907_4#10	SAMEA1466524	GCF_001198055.1
9235_1#9	SAMEA1710083	GCF_001198115.1
7738_4#62	SAMEA1324693	GCF_001198135.1
7738_3#79	SAMEA1324749	GCF_001198155.1
7738_4#64	SAMEA1324674	GCF_001198335.1
7907_4#92	SAMEA1466502	GCF_001198415.1
7738_4#10	SAMEA1324631	GCF_001198435.1
7748_4#64	SAMEA1324758	GCF_001198695.1
7738_4#14	SAMEA1324668	GCF_001198775.1
7907_4#31	SAMEA1466473	GCF_001199015.1
7748_4#30	SAMEA1324528	GCF_001199135.1
7748_4#95	SAMEA1324548	GCF_001199175.1
7748_4#73	SAMEA1324635	GCF_001199235.1
7738_4#43	SAMEA1324695	GCF_001199375.1
7738_4#66	SAMEA1324761	GCF_001199615.1
7748_4#53	SAMEA1324627	GCF_001199655.1
7738_3#1	SAMEA1324512	GCF_001199675.1
7738_3#27	SAMEA1324724	GCF_001199755.1
7738_3#93	SAMEA1324706	GCF_001199775.1
7068_5#17	SAMEA1033422	GCF_001199875.1
7748_4#54	SAMEA1324637	GCF_001200155.1
7738_3#59	SAMEA1324770	GCF_001200275.1
7738_3#5	SAMEA1324561	GCF_001200375.1
7738_4#44	SAMEA1324602	GCF_001200515.1
7738_4#38	SAMEA1324757	GCF_001200595.1
9235_1#16	SAMEA1710104	GCF_001200635.1
7748_4#90	SAMEA1324599	GCF_001200715.1
9266_1#13	SAMEA1710079	GCF_001200875.1
8987_2#12	SAMEA1708805	GCF_001201035.1
7748_4#37	SAMEA1324766	GCF_001201135.1
7738_3#13	SAMEA1324733	GCF_001201255.1
7738_4#57	SAMEA1324634	GCF_001201455.1
9235_1#10	SAMEA1710085	GCF_001201535.1
7907_4#78	SAMEA1466505	GCF_001201555.1
9266_1#16	SAMEA1710088	GCF_001201615.1
7748_4#82	SAMEA1324755	GCF_001201695.1
7738_4#40	SAMEA1324669	GCF_001201715.1
8987_2#14	SAMEA1708843	GCF_001201795.1
7907_4#27	SAMEA1466513	GCF_001202095.1
7738_4#13	SAMEA1324686	GCF_001202175.1
7738_3#21	SAMEA1324653	GCF_001202395.1
7907_4#83	SAMEA1466534	GCF_001202535.1
9266_1#2	SAMEA1710084	GCF_001202595.1
7748_4#29	SAMEA1324547	GCF_001203135.1
7907_4#25	SAMEA1466540	GCF_001203175.1
7907_4#60	SAMEA1466466	GCF_001203255.1
7748_4#9	SAMEA1324514	GCF_001203315.1
7738_3#11	SAMEA1324708	GCF_001203535.1
7748_4#10	SAMEA1324571	GCF_001203675.1
7748_4#8	SAMEA1324526	GCF_001203695.1
9266_1#21	SAMEA1710110	GCF_001203755.1
7748_4#36	SAMEA1324712	GCF_001203795.1
7738_4#51	SAMEA1324678	GCF_001203835.1
7907_4#50	SAMEA1466525	GCF_001203915.1
7092_7#81	SAMEA1033436	GCF_001203975.1
7748_4#51	SAMEA1324690	GCF_001204095.1
7738_4#50	SAMEA1324608	GCF_001204115.1
7738_3#52	SAMEA1324673	GCF_001204195.1
7907_4#72	SAMEA1466457	GCF_001204255.1
7738_3#22	SAMEA1324663	GCF_001204295.1
7738_4#71	SAMEA1324518	GCF_001204415.1
7738_3#51	SAMEA1324623	GCF_001204475.1
7748_4#24	SAMEA1324756	GCF_001204755.1
7738_3#78	SAMEA1324747	GCF_001204875.1
9266_1#17	SAMEA1710087	GCF_001204955.1
7748_4#87	SAMEA1324569	GCF_001204975.1
7738_3#61	SAMEA1324540	GCF_001204995.1
7893_8#2	SAMEA1463394	GCF_001205035.1
7907_4#80	SAMEA1466495	GCF_001205075.1
7738_4#22	SAMEA1324517	GCF_001205135.1
7748_4#72	SAMEA1324613	GCF_001205195.1
9266_1#12	SAMEA1710076	GCF_001205315.1
7907_4#94	SAMEA1466491	GCF_001205395.1
8987_2#92	SAMEA1709024	GCF_001205435.1
7748_4#76	SAMEA1324584	GCF_001205495.1
7738_3#62	SAMEA1324527	GCF_001205535.1
7738_4#7	SAMEA1324583	GCF_001205895.1
7738_3#24	SAMEA1324688	GCF_001206095.1
7907_4#7	SAMEA1466506	GCF_001206115.1
7907_4#51	SAMEA1466519	GCF_001206195.1
7738_3#3	SAMEA1324532	GCF_001206215.1
7738_4#27	SAMEA1324648	GCF_001206275.1
9235_1#18	SAMEA1710105	GCF_001206395.1
8987_2#37	SAMEA1708768	GCF_001206695.1
7738_3#82	SAMEA1324651	GCF_001206735.1
7748_4#20	SAMEA1324660	GCF_001206755.1
7748_4#80	SAMEA1324657	GCF_001206795.1
7907_4#57	SAMEA1466454	GCF_001206875.1
7738_3#25	SAMEA1324705	GCF_001206995.1
7738_4#52	SAMEA1324699	GCF_001207235.1
9235_1#20	SAMEA1710097	GCF_001207315.1
7738_4#11	SAMEA1324642	GCF_001207395.1
7748_4#6	SAMEA1324625	GCF_001207415.1
7907_7#66	SAMEA1463468	GCF_001207435.1
7738_4#4	SAMEA1324529	GCF_001207455.1
9235_1#14	SAMEA1710101	GCF_001207535.1
7907_4#48	SAMEA1466527	GCF_001207595.1
